Airtime,Carrier,Carrier_Delay,Day_of_week,Delay_Minutes,Dest,Distance,Date,Flight_Num,Late_Aircraft_Delay,NAS_Delay,Origin,Security_Delay,Tailnum,Weather_Delay,Temp,Dewpoint,Fog,Hail,Precip,Rain,Pressure,Snow,Thunder,Tornado,Visibility,Windspeed,Dep_hour
49.0,OO,,4,-5.0,CMH,296.0,2011-08-04,6384,,,ORD,,N713SK,,27.200000000000006,17.8,0.0,0.0,0.0,0.0,101.51,0.0,0.0,0.0,10.0,2.6,18
79.0,YV,,2,1.0,FAT,493.0,2011-05-03,2711,,,PHX,,N930LR,,20.6,-13.9,0.0,0.0,0.0,0.0,101.78,0.0,0.0,0.0,10.0,4.1000000000000005,9
85.0,F9,,4,4.0,DEN,602.0,2011-09-15,862,,,PHX,,N925FR,,30.0,11.1,0.0,0.0,0.0,0.0,100.75,0.0,0.0,0.0,10.0,2.1,6
230.0,DL,,1,-4.0,ATL,2139.0,2011-06-13,1880,,,SFO,,N690DL,,17.2,11.7,0.0,0.0,0.0,0.0,101.67,0.0,0.0,0.0,9.8,11.8,22
118.0,CO,,6,-9.0,IAH,689.0,2011-12-03,1201,,,ATL,,N13624,,6.7,-1.1,0.0,0.0,0.0,0.0,103.08,0.0,0.0,0.0,10.0,0.0,6
146.0,AA,82.0,4,258.0,MIA,1086.0,2011-05-19,1921,168.0,0.0,EWR,0.0,N5DUAA,0.0,17.2,16.1,0.0,0.0,0.0,1.0,101.38,0.0,0.0,0.0,6.3,2.1,6
68.0,MQ,,5,-1.0,GPT,500.0,2011-06-17,3383,,,DFW,,N649MQ,,29.4,21.1,0.0,0.0,0.0,0.0,100.72,0.0,0.0,0.0,10.0,10.8,15
308.0,AA,,6,-4.0,JFK,2586.0,2011-05-21,20,,,SFO,,N335AA,,12.8,7.800000000000002,0.0,0.0,0.0,0.0,101.64,0.0,0.0,0.0,10.0,8.200000000000001,15
37.0,WN,8.0,7,23.0,ONT,197.0,2011-01-02,3212,15.0,3.0,LAS,0.0,N434WN,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,102.51,0.0,0.0,0.0,10.0,3.1,12
115.0,F9,,5,19.0,SAN,853.0,2011-10-07,561,,,DEN,,N904FR,,2.8000000000000003,-10.6,0.0,0.0,0.0,0.0,100.68,0.0,0.0,0.0,10.0,6.7,13
51.0,XE,,3,-7.0,GPT,376.0,2011-03-23,3022,,,IAH,,N14977,,27.200000000000006,16.1,0.0,0.0,0.0,0.0,101.19,0.0,0.0,0.0,9.7,3.6,19
57.0,UA,,6,-1.0,BUF,473.0,2011-04-23,363,,,ORD,,N416UA,,15.0,6.7,1.0,0.0,0.0,1.0,101.0,0.0,1.0,0.0,7.2,7.7,21
41.0,AA,,1,-1.0,SAT,247.0,2011-10-03,1464,,,DFW,,N4XAAA,,13.3,5.6000000000000005,0.0,0.0,0.0,0.0,102.22,0.0,0.0,0.0,10.0,2.6,13
78.0,MQ,,4,-7.0,MGM,622.0,2011-03-03,2788,,,DFW,,N660MQ,,22.200000000000006,5.6000000000000005,0.0,0.0,0.0,0.0,101.34,0.0,0.0,0.0,10.0,8.200000000000001,19
92.0,AS,,3,-1.0,SJC,696.0,2011-01-19,226,,,SEA,,N525AS,,4.4,1.1,0.0,0.0,0.0,1.0,103.29,0.0,0.0,0.0,9.8,0.0,19
63.0,OO,,3,0.0,SMF,373.0,2011-04-27,4814,,,LAX,,N869AS,,13.3,8.9,0.0,0.0,0.0,0.0,101.36,0.0,0.0,0.0,9.9,1.5,12
87.0,FL,,5,-6.0,ATL,732.0,2011-01-21,358,,,DFW,,N273AT,,0.0,-6.1000000000000005,0.0,0.0,0.0,0.0,102.09,0.0,0.0,0.0,10.0,4.1000000000000005,17
203.0,FL,,3,-5.0,PHX,1587.0,2011-08-31,542,,,ATL,,N307AT,,32.2,16.7,0.0,0.0,0.0,0.0,101.73,0.0,0.0,0.0,9.2,3.6,21
71.0,DL,,7,2.0,MSY,425.0,2011-12-04,1462,,,ATL,,N553NW,,7.800000000000002,0.0,0.0,0.0,0.0,0.0,102.97,0.0,0.0,0.0,10.0,4.1000000000000005,10
111.0,UA,,2,-6.0,LGA,733.0,2011-06-28,246,,,ORD,,N433UA,,25.0,11.7,0.0,0.0,0.0,0.0,101.62,0.0,0.0,0.0,10.0,,19
137.0,US,,2,-5.0,STL,1262.0,2011-03-22,156,,,PHX,,N835AW,,9.4,7.800000000000002,0.0,0.0,0.0,0.0,101.6,0.0,0.0,0.0,10.0,1.5,12
218.0,CO,,5,5.0,CLE,1824.0,2011-12-23,1722,,,LAS,,N76503,,3.3000000000000003,-17.8,0.0,0.0,0.0,0.0,103.16,0.0,0.0,0.0,10.0,3.6,11
,MQ,,5,,SAN,109.0,2011-07-15,3713,,,LAX,,N8EGMQ,,19.4,12.8,0.0,0.0,0.0,0.0,101.25,0.0,0.0,0.0,10.0,3.6,16
55.0,DL,0.0,1,44.0,TPA,406.0,2011-08-22,2172,29.0,0.0,ATL,0.0,N127DL,0.0,30.0,21.1,0.0,0.0,0.0,1.0,101.58,0.0,1.0,0.0,9.4,3.1,15
167.0,CO,,6,11.0,PHL,1324.0,2011-01-22,1836,,,IAH,,N77295,,-0.6000000000000001,-3.3000000000000003,0.0,0.0,0.0,0.0,102.01,0.0,0.0,0.0,10.0,1.5,12
40.0,CO,,2,3.0,SAT,191.0,2011-11-29,1418,,,IAH,,N16703,,3.9,-1.1,0.0,0.0,0.0,0.0,102.03,0.0,0.0,0.0,10.0,0.0,13
40.0,DL,,1,23.0,IND,231.0,2011-03-07,2436,,,DTW,,N367NW,,-1.1,-8.3,0.0,0.0,0.0,0.0,102.73,0.0,0.0,0.0,9.7,0.0,17
,DL,,1,,ATL,1199.0,2011-06-27,1616,,,DEN,,N632DL,,,,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,9.7,,7
128.0,WN,,6,23.0,DTW,1123.0,2011-08-20,423,,,DEN,,N720WN,,23.9,11.7,0.0,0.0,0.0,1.0,101.46,0.0,1.0,0.0,10.0,0.0,17
