Airtime,Carrier,Carrier_Delay,Day_of_week,Delay_Minutes,Dest,Distance,Date,Flight_Num,Late_Aircraft_Delay,NAS_Delay,Origin,Security_Delay,Tailnum,Weather_Delay,Temp,Dewpoint,Fog,Hail,Precip,Rain,Pressure,Snow,Thunder,Tornado,Visibility,Windspeed,Dep_hour
194.0,UA,,5,-8.0,DCA,1476.0,2012-07-06,484,,,DEN,,N507UA,,18.9,10.0,0.0,0.0,0.0,0.0,100.85,0.0,0.0,0.0,10.0,0.0,10
76.0,EV,,4,-6.0,CLE,554.0,2012-02-16,4106,,,ATL,,N14116,,15.0,12.8,1.0,0.0,0.0,1.0,101.78,0.0,0.0,0.0,6.0,3.6,21
28.0,OO,0.0,4,18.0,SAN,109.0,2012-11-01,4789,15.0,0.0,LAX,0.0,N632SK,0.0,17.8,11.1,0.0,0.0,0.0,0.0,101.66,0.0,0.0,0.0,7.9,1.5,19
153.0,B6,9.0,2,9.0,JFK,944.0,2012-08-28,58,0.0,22.0,MCO,0.0,N523JB,0.0,26.1,25.0,0.0,0.0,0.0,1.0,101.37,0.0,1.0,0.0,9.7,5.7,20
190.0,UA,,6,6.0,IAH,1635.0,2012-10-13,1560,,,SFO,,N38446,,13.9,10.0,0.0,0.0,0.0,0.0,102.33,0.0,0.0,0.0,10.0,1.5,6
51.0,DL,0.0,7,44.0,RDU,356.0,2012-06-10,1083,13.0,0.0,ATL,0.0,N3736C,12.0,22.8,21.700000000000006,0.0,0.0,4.0,1.0,101.74,0.0,1.0,0.0,5.8,3.1,23
281.0,UA,,1,-6.0,JFK,2475.0,2012-01-30,438,,,LAX,,N557UA,,10.6,-2.8000000000000003,0.0,0.0,0.0,0.0,101.6,0.0,0.0,0.0,10.0,0.0,13
47.0,US,,4,-3.0,PHX,255.0,2012-02-23,230,,,LAS,,N814AW,,15.6,-3.9,0.0,0.0,0.0,0.0,100.91,0.0,0.0,0.0,10.0,4.6000000000000005,10
103.0,US,,2,-5.0,SFO,651.0,2012-04-03,409,,,PHX,,N541UW,,18.9,-8.3,0.0,0.0,0.0,0.0,101.39,0.0,0.0,0.0,10.0,3.6,17
50.0,AA,0.0,4,52.0,SAT,247.0,2012-03-08,480,31.0,13.0,DFW,0.0,N564AA,21.0,8.3,5.6000000000000005,0.0,0.0,-1.0,1.0,102.04,0.0,0.0,0.0,8.8,10.3,23
